transaction_id,user_id,timestamp,amount,merchant_id,merchant_category,device_id,latitude,longitude,location_name,payment_method,transaction_type,fraud_label,fraud_scenario
U197-20240106172953-48534,U197,2024-01-06 17:29:53,955.26,M59977,Groceries,D197_2,9.859941,76.137726,Kochi,Wallet,REFUND,0,normal
U185-20240106185934-26411,U185,2024-01-06 18:59:34,4429.09,M59456,Subscriptions,D185_1,17.505838,78.439752,Hyderabad,UPI,TOPUP,0,normal
U139-20240107102308-63232,U139,2024-01-07 10:23:08,373.2,M77696,Education,D139,26.705461,81.064115,Lucknow,Wallet,PAYMENT,0,normal
U133-20240107102405-55900,U133,2024-01-07 10:24:05,693.89,M19488,Taxi,D133_1,19.089494,72.859296,Mumbai,Wallet,TRANSFER,0,normal
U056-20240107195922-81807,U056,2024-01-07 19:59:22,263.44,M33221,Entertainment,D056_2,13.156863,80.165199,Chennai,Debit Card,TRANSFER,0,normal
U162-20240107203637-11869,U162,2024-01-07 20:36:37,22.11,M05762,Restaurants,D162_1,13.030462,77.545755,Bengaluru,Debit Card,PAYMENT,0,normal
U154-20240107205702-50380,U154,2024-01-07 20:57:02,326.48,M61646,Education,D154,28.686569,77.478013,Delhi,Debit Card,REFUND,0,normal
U143-20240107222423-74280,U143,2024-01-07 22:24:23,1539.99,M18445,Taxi,D143_1,19.037741,72.806769,Mumbai,Debit Card,TRANSFER,0,normal
U087-20240108105831-33628,U087,2024-01-08 10:58:31,290.58,M63331,Fuel,D087_2,9.92489,76.4082,Kochi,UPI,PAYMENT,0,normal
U172-20240108111824-61955,U172,2024-01-08 11:18:24,1554.14,M05607,Travel,D172_1,12.982006,77.578701,Bengaluru,UPI,TOPUP,0,normal
U197-20240108121416-83516,U197,2024-01-08 12:14:16,1261.01,M60121,Shopping,D197,9.875316,76.136751,Kochi,Credit Card,REFUND,0,normal
U093-20240108123015-89365,U093,2024-01-08 12:30:15,1353.7,M19250,Fuel,D093_2,19.061188,72.863805,Mumbai,Debit Card,PAYMENT,0,normal
U109-20240108162442-87094,U109,2024-01-08 16:24:42,2064.45,M77800,Shopping,D109_1,26.818276,80.961753,Lucknow,Debit Card,TRANSFER,0,normal
U002-20240108180906-21828,U002,2024-01-08 18:09:06,304.27,M05457,Healthcare,D002_1,12.965393,77.580348,Bengaluru,UPI,TRANSFER,0,normal
U177-20240108181453-14849,U177,2024-01-08 18:14:53,783.74,M61888,Education,D177_3,9.880909,76.307863,Kochi,Debit Card,TRANSFER,0,normal
U122-20240108184856-20698,U122,2024-01-08 18:48:56,699.17,M05161,Education,D122_2,12.892022,77.62407,Bengaluru,Wallet,REFUND,0,normal
U070-20240108191450-24406,U070,2024-01-08 19:14:50,565.78,M27362,Entertainment,D070_1,26.91887,75.817355,Jaipur,Debit Card,TOPUP,0,normal
U102-20240108194555-45699,U102,2024-01-08 19:45:55,1777.99,M05785,Electricity,D102_1,12.888569,77.689964,Bengaluru,Debit Card,PAYMENT,0,normal
U036-20240108194614-39901,U036,2024-01-08 19:46:14,940.26,M33821,Groceries,D036_3,12.993066,80.389075,Chennai,Credit Card,PAYMENT,0,normal
U159-20240109121623-84790,U159,2024-01-09 12:16:23,2943.02,M77708,Entertainment,D159,26.833827,80.936985,Lucknow,UPI,PAYMENT,0,normal
U070-20240109131627-86906,U070,2024-01-09 13:16:27,848.96,M25830,Bills,D070,26.834328,75.748703,Jaipur,Debit Card,REFUND,0,normal
U184-20240109133219-49599,U184,2024-01-09 13:32:19,235.28,M56610,Subscriptions,D184_1,28.575712,77.085305,Delhi,Wallet,PAYMENT,0,normal
U080-20240109134238-98409,U080,2024-01-09 13:42:38,312.0,M26643,Electricity,D080_2,26.903613,75.76066,Jaipur,Credit Card,TOPUP,0,normal
U014-20240109134404-54819,U014,2024-01-09 13:44:04,758.32,M58804,Taxi,D014,28.67501,77.205397,Delhi,UPI,TRANSFER,0,normal
U031-20240109142437-34356,U031,2024-01-09 14:24:37,554.36,M76831,Taxi,D031_1,12.95634,74.726791,Mangalore,UPI,PAYMENT,0,normal
U024-20240109142946-17308,U024,2024-01-09 14:29:46,1729.07,M58311,Healthcare,D024,28.58083,77.250286,Delhi,Debit Card,REFUND,0,normal
U088-20240109150359-79823,U088,2024-01-09 15:03:59,1063.83,M22414,Groceries,D088_1,18.475204,73.766161,Pune,UPI,REFUND,0,normal
U129-20240109151020-87027,U129,2024-01-09 15:10:20,321.6,M78399,Education,D1129,26.859453,80.980439,Lucknow,Wallet,TOPUP,1,NEW_DEVICE
U107-20240109164348-67851,U107,2024-01-09 16:43:48,249.89,M62085,Healthcare,D107_1,9.978869,76.229605,Kochi,Wallet,TOPUP,0,normal
U161-20240109190544-53972,U161,2024-01-09 19:05:44,1033.42,M77988,Restaurants,D161_1,12.88975,74.909067,Mangalore,Wallet,PAYMENT,0,normal
U137-20240109200158-50009,U137,2024-01-09 20:01:58,176.23,M60540,Entertainment,D137,9.938989,76.114996,Kochi,Debit Card,TOPUP,0,normal
U129-20240109202128-97939,U129,2024-01-09 20:21:28,349.63,M78885,Healthcare,D129,26.863142,81.025345,Lucknow,Debit Card,REFUND,0,normal
U191-20240109203034-40906,U191,2024-01-09 20:30:34,357.54,M77112,Restaurants,D191_2,12.942373,74.768854,Mangalore,Credit Card,TOPUP,0,normal
U038-20240110135941-51554,U038,2024-01-10 13:59:41,142.4,M22696,Electricity,D038_1,18.371373,73.898256,Pune,UPI,TOPUP,0,normal
U173-20240110141427-10492,U173,2024-01-10 14:14:27,768.6,M20273,Travel,D173,19.051207,72.976131,Mumbai,Wallet,PAYMENT,0,normal
U102-20240110145638-68348,U102,2024-01-10 14:56:38,1049.18,M06485,Shopping,D102_3,12.971575,77.676961,Bengaluru,Wallet,REFUND,0,normal
U147-20240110150735-23123,U147,2024-01-10 15:07:35,330.95,M60197,Fuel,D147,9.900454,76.119286,Kochi,Debit Card,REFUND,0,normal
U197-20240110161132-31827,U197,2024-01-10 16:11:32,826.53,M60446,Entertainment,D197_2,9.888648,76.155975,Kochi,Wallet,REFUND,0,normal
U091-20240110175149-35429,U091,2024-01-10 17:51:49,827.4,M79604,Entertainment,D091,12.965976,74.994473,Mangalore,Credit Card,PAYMENT,0,normal
U099-20240110180047-86430,U099,2024-01-10 18:00:47,2299.34,M77421,Healthcare,D099_2,26.923627,80.81849,Lucknow,Credit Card,TRANSFER,0,normal
U113-20240110201557-30690,U113,2024-01-10 20:15:57,1143.29,M19852,Shopping,D113_1,19.055123,72.930118,Mumbai,UPI,REFUND,0,normal
U173-20240110202023-21175,U173,2024-01-10 20:20:23,529.35,M21379,Fuel,D173,19.113474,73.024444,Mumbai,Wallet,TRANSFER,0,normal
U177-20240111111039-26932,U177,2024-01-11 11:10:39,308.45,M61580,Subscriptions,D177,9.845352,76.312675,Kochi,Debit Card,REFUND,0,normal
U121-20240111132658-92587,U121,2024-01-11 13:26:58,151.23,M76563,Subscriptions,D121,12.888317,74.767983,Mangalore,Wallet,TRANSFER,0,normal
U014-20240111191000-80742,U014,2024-01-11 19:10:00,299.18,M58526,Healthcare,D014_2,28.633904,77.218655,Delhi,Debit Card,TOPUP,0,normal
U140-20240111203615-28378,U140,2024-01-11 20:36:15,130.88,M27574,Travel,D140_2,26.927517,75.829907,Jaipur,Debit Card,REFUND,0,normal
U158-20240112162003-62703,U158,2024-01-12 16:20:03,1526.89,M24584,Entertainment,D158_2,18.519676,73.938737,Pune,Wallet,PAYMENT,0,normal
U100-20240112164627-54988,U100,2024-01-12 16:46:27,591.85,M26911,Electricity,D100_1,26.915005,75.776113,Jaipur,Debit Card,TOPUP,0,normal
U071-20240112175610-25512,U071,2024-01-12 17:56:10,69.96,M78222,Travel,D071_1,12.908928,74.913303,Mangalore,Wallet,REFUND,0,normal
U182-20240112182033-81548,U182,2024-01-12 18:20:33,5041.95,M07819,Education,D182_2,13.046314,77.73561,Bengaluru,Credit Card,TOPUP,1,HIGH_AMOUNT
U172-20240112200259-13449,U172,2024-01-12 20:02:59,244.47,M05572,Healthcare,D172,12.945256,77.61192,Bengaluru,UPI,REFUND,0,normal
U195-20240113103255-68893,U195,2024-01-13 10:32:55,5927.04,M59886,Subscriptions,D195,17.472899,78.51568,Hyderabad,UPI,TOPUP,0,normal
U119-20240113133906-53935,U119,2024-01-13 13:39:06,1203.34,M77116,Groceries,D119_1,26.765768,80.945878,Lucknow,Debit Card,REFUND,0,normal
U088-20240113143754-73332,U088,2024-01-13 14:37:54,128.04,M23891,Subscriptions,D088,18.516766,73.872339,Pune,Credit Card,TOPUP,0,normal
U005-20240113164453-39814,U005,2024-01-13 16:44:53,205.6,M58857,Healthcare,D005_2,17.348492,78.53717,Hyderabad,Credit Card,TOPUP,0,normal
U068-20240113184738-46133,U068,2024-01-13 18:47:38,889.13,M25517,Fuel,D068_2,18.548457,74.003231,Pune,UPI,TOPUP,0,normal
U161-20240113201439-38883,U161,2024-01-13 20:14:39,913.39,M78193,Bills,D161_1,12.889148,74.93011,Mangalore,UPI,TRANSFER,0,normal
U138-20240114050550-64187,U138,2024-01-14 05:05:50,10078.23,M23567,Entertainment,D1138,28.599541,77.234979,Delhi,Credit Card,PAYMENT,1,ACCOUNT_TAKEOVER
U099-20240114110304-38250,U099,2024-01-14 11:03:04,2214.94,M77437,Restaurants,D099,26.923546,80.820112,Lucknow,Debit Card,TOPUP,0,normal
U087-20240114141634-59540,U087,2024-01-14 14:16:34,440.99,M61591,Restaurants,D087_3,9.910337,76.248762,Kochi,UPI,REFUND,0,normal
U076-20240114195326-31733,U076,2024-01-14 19:53:26,588.19,M34126,Groceries,D076_1,13.190652,80.221921,Chennai,Wallet,TOPUP,0,normal
U016-20240114202906-89576,U016,2024-01-14 20:29:06,317.22,M33652,Travel,D016_1,13.147837,80.217374,Chennai,Debit Card,TRANSFER,0,normal
U173-20240114205459-25370,U173,2024-01-14 20:54:59,923.89,M20021,Taxi,D173_1,19.040471,72.961601,Mumbai,Debit Card,REFUND,0,normal
U165-20240115115003-15186,U165,2024-01-15 11:50:03,413.55,M59483,Education,D165,17.409245,78.539026,Hyderabad,Debit Card,REFUND,0,normal
U059-20240115132026-22315,U059,2024-01-15 13:20:26,4957.43,M75721,Healthcare,D059_1,26.882925,80.689165,Lucknow,Wallet,TOPUP,0,normal
U111-20240115153315-98221,U111,2024-01-15 15:33:15,1344.87,M76945,Entertainment,D111_2,12.921517,74.772945,Mangalore,Wallet,PAYMENT,0,normal
U081-20240116175733-72320,U081,2024-01-16 17:57:33,548.66,M78774,Restaurants,D081_3,12.91752,74.959857,Mangalore,UPI,PAYMENT,0,normal
U015-20240116193747-53578,U015,2024-01-16 19:37:47,4670.35,M57458,Fuel,D015_1,17.322814,78.423012,Hyderabad,Wallet,PAYMENT,0,normal
U035-20240116195310-87869,U035,2024-01-16 19:53:10,1022.71,M58340,Electricity,D035_1,17.307655,78.526315,Hyderabad,UPI,TOPUP,0,normal
U099-20240117123310-99182,U099,2024-01-17 12:33:10,1773.24,M76811,Bills,D099_1,26.910298,80.770816,Lucknow,Wallet,PAYMENT,0,normal
U144-20240117134309-61683,U144,2024-01-17 13:43:09,1796.25,M60884,Subscriptions,D144,28.635604,77.452846,Delhi,Wallet,TRANSFER,0,normal
U179-20240117141136-32003,U179,2024-01-17 14:11:36,1729.64,M78394,Shopping,D179,26.883948,80.955404,Lucknow,Credit Card,PAYMENT,0,normal
U123-20240117142623-28860,U123,2024-01-17 14:26:23,3831.14,M20400,Groceries,D123_3,19.120205,72.919759,Mumbai,Wallet,TOPUP,0,normal
U065-20240117145925-52496,U065,2024-01-17 14:59:25,1960.05,M58111,Fuel,D065_1,17.361435,78.449685,Hyderabad,UPI,PAYMENT,0,normal
U045-20240117151119-80401,U045,2024-01-17 15:11:19,1925.26,M57641,Taxi,D045_1,17.308157,78.455907,Hyderabad,Wallet,TRANSFER,0,normal
U056-20240117160805-63057,U056,2024-01-17 16:08:05,444.52,M32935,Electricity,D056,13.105062,80.188405,Chennai,UPI,TOPUP,0,normal
U161-20240117182846-98256,U161,2024-01-17 18:28:46,906.73,M77091,Fuel,D161_1,12.864805,74.844282,Mangalore,UPI,REFUND,0,normal
U143-20240117203554-79106,U143,2024-01-17 20:35:54,892.8,M19643,Electricity,D143_1,19.052851,72.911465,Mumbai,Wallet,TRANSFER,0,normal
U107-20240117223622-24197,U107,2024-01-17 22:36:22,415.76,M61133,Healthcare,D107_1,9.927113,76.186142,Kochi,Debit Card,TOPUP,0,normal
U117-20240118105340-14405,U117,2024-01-18 10:53:40,139.54,M61247,Healthcare,D117,9.920793,76.203891,Kochi,Credit Card,REFUND,0,normal
U010-20240118124352-94926,U010,2024-01-18 12:43:52,313.81,M25912,Electricity,D010,26.830366,75.760868,Jaipur,UPI,TRANSFER,0,normal
U094-20240118161615-50651,U094,2024-01-18 16:16:15,417.85,M55259,Taxi,D094_1,28.461737,77.064152,Delhi,Wallet,TOPUP,0,normal
U038-20240118202512-64024,U038,2024-01-18 20:25:12,120.61,M23608,Fuel,D038,18.43344,73.927406,Pune,Wallet,TRANSFER,0,normal
U055-20240119120640-88851,U055,2024-01-19 12:06:40,523.48,M57902,Fuel,D055,17.343331,78.446915,Hyderabad,Credit Card,TOPUP,0,normal
U052-20240119140145-44322,U052,2024-01-19 14:01:45,944.66,M03867,Bills,D052,12.88384,77.502853,Bengaluru,Debit Card,TOPUP,0,normal
U059-20240119154808-64384,U059,2024-01-19 15:48:08,2850.83,M74564,Healthcare,D059_2,26.805297,80.651111,Lucknow,Credit Card,PAYMENT,0,normal
U108-20240119161737-54932,U108,2024-01-19 16:17:37,59.05,M24439,Subscriptions,D108,18.559014,73.884862,Pune,Debit Card,REFUND,0,normal
U072-20240119182242-88403,U072,2024-01-19 18:22:42,907.48,M05686,Subscriptions,D072,12.990306,77.578284,Bengaluru,Wallet,PAYMENT,0,normal
U029-20240120134328-89717,U029,2024-01-20 13:43:28,1173.94,M76872,Restaurants,D029_1,26.816003,80.871232,Lucknow,Wallet,TRANSFER,0,normal
U030-20240120140947-33921,U030,2024-01-20 14:09:47,811.77,M28194,Bills,D030_3,26.943724,75.87563,Jaipur,UPI,TRANSFER,0,normal
U120-20240120151938-22618,U120,2024-01-20 15:19:38,748.5,M25407,Shopping,D120_1,26.781679,75.759054,Jaipur,Credit Card,TRANSFER,0,normal
U192-20240120170352-47799,U192,2024-01-20 17:03:52,20.0,M06059,Entertainment,D192_2,12.984871,77.621054,Bengaluru,UPI,REFUND,0,normal
U123-20240120175855-82486,U123,2024-01-20 17:58:55,1924.68,M19141,Bills,D123_2,17.395919,78.468366,Hyderabad,Debit Card,TRANSFER,1,LOCATION_ANOMALY
U074-20240120190719-46215,U074,2024-01-20 19:07:19,575.47,M60357,Subscriptions,D074,28.601929,77.433812,Delhi,Wallet,PAYMENT,0,normal
U179-20240120220348-88013,U179,2024-01-20 22:03:48,1363.24,M78314,Healthcare,D179_2,26.894017,80.937343,Lucknow,UPI,REFUND,0,normal
U057-20240121105056-99024,U057,2024-01-21 10:50:56,794.21,M63488,Subscriptions,D057,9.976765,76.372046,Kochi,Wallet,TRANSFER,0,normal
U047-20240121140658-86716,U047,2024-01-21 14:06:58,2095.42,M64067,Fuel,D047,9.89657,76.510088,Kochi,Credit Card,PAYMENT,0,normal
U019-20240122155132-41122,U019,2024-01-22 15:51:32,356.17,M77379,Electricity,D019,26.808856,80.929063,Lucknow,Debit Card,TRANSFER,0,normal
U108-20240122172743-24015,U108,2024-01-22 17:27:43,150.9,M22506,Fuel,D108_1,18.502174,73.748449,Pune,Debit Card,TRANSFER,0,normal
U121-20240122181305-54697,U121,2024-01-22 18:13:05,107.08,M77407,Subscriptions,D121_1,12.96217,74.778501,Mangalore,Credit Card,PAYMENT,1,MERCHANT_ANOMALY
U178-20240122194916-78390,U178,2024-01-22 19:49:16,2181.3,M25125,Electricity,D178_1,18.601766,73.91071,Pune,Credit Card,REFUND,0,normal
U094-20240122202859-11271,U094,2024-01-22 20:28:59,744.41,M55837,Shopping,D094_1,28.537049,77.046666,Delhi,UPI,PAYMENT,0,normal
U133-20240122211204-71770,U133,2024-01-22 21:12:04,373.4,M18810,Taxi,D133_1,19.096365,72.78462,Mumbai,Debit Card,TRANSFER,0,normal
U063-20240122223512-61916,U063,2024-01-22 22:35:12,744.86,M18201,Subscriptions,D063,19.051563,72.768567,Mumbai,UPI,TOPUP,0,normal
U153-20240123140638-61865,U153,2024-01-23 14:06:38,820.82,M19937,Travel,D153_3,19.145662,72.848004,Mumbai,UPI,TOPUP,0,normal
U142-20240123161029-51515,U142,2024-01-23 16:10:29,3888.08,M04387,Education,D142,12.822047,77.616625,Bengaluru,UPI,TRANSFER,0,normal
U177-20240123163521-24027,U177,2024-01-23 16:35:21,1099.29,M62002,Electricity,D177,9.860973,76.339205,Kochi,Credit Card,PAYMENT,0,normal
U139-20240124103555-23358,U139,2024-01-24 10:35:55,258.25,M76444,Bills,D139_1,26.687761,80.95663,Lucknow,Credit Card,REFUND,0,normal
U068-20240124115815-60964,U068,2024-01-24 11:58:15,1136.63,M24605,Groceries,D068_2,18.517899,73.942631,Pune,Wallet,PAYMENT,0,normal
U162-20240124141941-37181,U162,2024-01-24 14:19:41,49.99,M05103,Shopping,D162_3,13.018525,77.491802,Bengaluru,Wallet,REFUND,0,normal
U156-20240124172457-85853,U156,2024-01-24 17:24:57,1102.46,M34012,Shopping,D156_3,13.109589,80.291587,Chennai,UPI,REFUND,0,normal
U076-20240124174345-66384,U076,2024-01-24 17:43:45,709.67,M33573,Travel,D076_1,13.130751,80.226525,Chennai,Credit Card,TOPUP,0,normal
U010-20240124190346-16990,U010,2024-01-24 19:03:46,833.52,M25724,Taxi,D010_1,26.836983,75.735445,Jaipur,UPI,TOPUP,0,normal
U027-20240124205835-70982,U027,2024-01-24 20:58:35,1196.08,M62296,Restaurants,D027,9.98435,76.245293,Kochi,Debit Card,TRANSFER,0,normal
U018-20240125130731-49599,U018,2024-01-25 13:07:31,1877.56,M23920,Subscriptions,D018_3,18.534712,73.857263,Pune,Debit Card,TOPUP,0,normal
U067-20240125183338-51042,U067,2024-01-25 18:33:38,1647.26,M62304,Restaurants,D067,9.884816,76.345544,Kochi,Wallet,REFUND,0,normal
U131-20240125194217-28946,U131,2024-01-25 19:42:17,150.61,M77597,Electricity,D131_2,12.905249,74.854497,Mangalore,UPI,REFUND,0,normal
U007-20240125204746-38931,U007,2024-01-25 20:47:46,336.21,M60264,Electricity,D007,9.888793,76.137559,Kochi,Credit Card,TOPUP,0,normal
U137-20240125210317-83456,U137,2024-01-25 21:03:17,835.23,M61478,Subscriptions,D137,9.927933,76.219869,Kochi,Credit Card,REFUND,0,normal
U149-20240125212752-64787,U149,2024-01-25 21:27:52,766.67,M76659,Taxi,D149,26.823845,80.842025,Lucknow,UPI,TRANSFER,0,normal
U113-20240125214452-97849,U113,2024-01-25 21:44:52,446.79,M19546,Bills,D113_2,19.063527,72.891115,Mumbai,Wallet,TOPUP,0,normal
U145-20240126164643-35438,U145,2024-01-26 16:46:43,952.08,M58879,Education,D145,17.366861,78.520993,Hyderabad,Wallet,PAYMENT,0,normal
U156-20240126184030-71429,U156,2024-01-26 18:40:30,1562.36,M33862,Taxi,D156_2,13.14231,80.243841,Chennai,Debit Card,TRANSFER,1,MERCHANT_ANOMALY
U171-20240126190604-14490,U171,2024-01-26 19:06:04,823.88,M79116,Groceries,D171_2,12.982689,74.928948,Mangalore,Debit Card,REFUND,0,normal
U040-20240126191207-94427,U040,2024-01-26 19:12:07,1507.65,M29566,Travel,D040_1,26.941826,76.014745,Jaipur,Credit Card,PAYMENT,0,normal
U137-20240127145420-67931,U137,2024-01-27 14:54:20,795.86,M62386,Shopping,D137_2,9.956055,76.282558,Kochi,Wallet,TOPUP,0,normal
U059-20240127164241-68735,U059,2024-01-27 16:42:41,2283.07,M75338,Bills,D059_1,26.888578,80.64523,Lucknow,Debit Card,TOPUP,0,normal
U153-20240128121617-13557,U153,2024-01-28 12:16:17,585.31,M20220,Fuel,D153_2,19.195104,72.826893,Mumbai,Credit Card,TOPUP,0,normal
U017-20240128140931-88209,U017,2024-01-28 14:09:31,955.03,M63483,Taxi,D017_1,9.93666,76.411678,Kochi,Debit Card,REFUND,0,normal
U110-20240129092540-72493,U110,2024-01-29 09:25:40,106.27,M27242,Groceries,D110,26.799617,75.924595,Jaipur,UPI,REFUND,0,normal
U178-20240129110220-70503,U178,2024-01-29 11:02:20,1535.17,M25150,Restaurants,D178,18.581921,73.933098,Pune,UPI,PAYMENT,0,normal
U127-20240129150422-61530,U127,2024-01-29 15:04:22,234.54,M60562,Travel,D127_1,9.821665,76.234576,Kochi,Wallet,PAYMENT,0,normal
U066-20240129191252-89896,U066,2024-01-29 19:12:52,1194.07,M34239,Entertainment,D066_1,12.904103,74.908085,Mangalore,Wallet,TRANSFER,1,LOCATION_ANOMALY
U115-20240129192224-60453,U115,2024-01-29 19:22:24,606.13,M59169,Restaurants,D115,17.333679,78.583258,Hyderabad,Credit Card,REFUND,0,normal
U197-20240129203652-60590,U197,2024-01-29 20:36:52,2213.64,M59547,Travel,D197_2,9.840542,76.114166,Kochi,Debit Card,PAYMENT,0,normal
U152-20240130123739-29980,U152,2024-01-30 12:37:39,283.47,M04597,Subscriptions,D152_1,12.925925,77.533745,Bengaluru,Debit Card,PAYMENT,0,normal
U085-20240130141627-18656,U085,2024-01-30 14:16:27,435.27,M58949,Restaurants,D085_1,17.436702,78.458243,Hyderabad,Credit Card,PAYMENT,0,normal
